YIELD,DAYS_TO_MATURITY,AMOUNT_CHF(000),YIELD
7.224,1002,250,7.224
7.266,1044,227,7.266
7.266,1044,227,7.266
7.428,1068,227,7.428
6.169,981,176,6.169
5.926,1072,114,5.926
2.052,318,3000,2.052
3.796,370,275,3.796
3.547,594,110,3.547
2.653,1100,500,2.653
3.623,1702,100,3.623
3.554,1841,100,3.554
3.89,2045,1300,3.89
3.796,2206,500,3.796
3.956,2471,10000,3.956
4.579,2581,100,4.579
4.204,2609,50,4.204
4.218,2904,500,4.218
4.282,3602,500,4.282
4.307,3602,1000,4.307
4.383,1817,20000,4.383
4.409,1817,20000,4.409
3.905,2532,10000,3.905
4.123,3171,1250,4.123
4.312,3262,500,4.312
4.21,3262,20000,4.21
4.501,3509,15000,4.501
4.261,3719,1000,4.261
4.274,3719,1900,4.274
4.279,3719,4700,4.279
4.279,3719,5000,4.279
2.877,1292,20000,2.877
3.073,1769,210,3.073
3.094,1769,7780,3.094
3.516,1846,150,3.516
3.425,1848,20,3.425
4.129,2590,2000,4.129
4.408,3661,1150,4.408
4.432,3667,1000,4.432
2.323,138,3000,2.323
2.235,365,100,2.235
2.666,530,100,2.666
2.774,895,250,2.774
2.966,1026,100,2.966
3.341,1100,15,3.341
4.507,1211,880,4.507
4.555,1211,950,4.555
3.284,1240,50,3.284
3.098,1447,300,3.098
3.098,1447,1200,3.098
3.432,1566,50,3.432
3.507,1566,180,3.507
4.496,1575,2000,4.496
-0.677,1594,50,-0.677
3.425,1638,150,3.425
3.49,1687,150,3.49
3.474,1792,2500,3.474
3.445,1821,500,3.445
3.636,1828,100,3.636
3.512,1846,210,3.512
3.815,1905,50,3.815
3.841,1905,2000,3.841
3.812,2045,150,3.812
3.708,2076,150,3.708
4.154,2170,350,4.154
4.11,2198,2000,4.11
5.105,2231,500,5.105
4.917,2345,50,4.917
3.753,2371,85,3.753
4.162,2857,500,4.162
4.162,2857,3000,4.162
4.25,2874,120,4.25
4.269,2874,170,4.269
5.116,3573,100,5.116
4.413,3667,100,4.413
5.126,4274,700,5.126
0.121,1513,300,0.121
8.594,1096,122,8.594
7.654,1840,815,7.654
5.032,483,897,5.032
3.761,719,122,3.761
4.497,1255,122,4.497
4.931,1348,102,4.931
5.178,1520,106,5.178
5.651,2563,1630,5.651
6.036,2847,143,6.036
6.016,2910,261,6.016
6.108,3358,245,6.108
6.165,3673,815,6.165
3.535,536,383,3.535
5.348,358,814,5.348
4.968,1028,269,4.968
5.34,1097,392,5.34
12.649,613,121,12.649
9,902,3033,9
7.214,2563,242,7.214
5.05,575,237,5.05
18.8,59,500,18.8
6.292,281,9150,6.292
6.397,398,3660,6.397
